Lambda,Train Accuracy,Val Accuracy,Train Macro F1,Val Macro F1,Gap,Diagnosis
0.0001,0.9531614547593373,0.9327404113396331,0.9522874901351994,0.9315779306639088,0.020709559471290606,Good fit
0.0005,0.9478286442505637,0.9295163979988883,0.9469807052276284,0.9284503976643694,0.01853030756325902,Good fit
0.001,0.9486324870110774,0.933852140077821,0.9477397367744805,0.9328704990322567,0.014869237742223818,Good fit
